player,date,time,id,item,itemID,itemString,response,votes,class,instance,boss,difficultyID,mapID,groupSize,gear1,gear2,responseID,isAwardReason,subType,equipLoc,note,owner
Oxiduz-Kazzak,2026/08/26,23:26:00,1787779576-3,[Ancient Construct's Venomshiv],268204,item:268204::::::::90:253::5:3:6652:13334:12842,Mainspec/Need,3,ROGUE,The Venomous Abyss-Heroic,Entombed Sentinels,15,3004,16,|cnIQ4:|Hitem:237837:8689:::::::90:253::13:7:12214:12497:13751:13771:8960:8793:13836:9:28:3615:29:32:30:36:38:8:40:2748:46:274476:47:273060:48:245784:49:-2147480202:::::|h[Farstrider's Mercy |A:Professions-ChatIcon-Quality-Tier5:17:15::1|a]|h|r,|cnIQ4:|Hitem:193756:8689:::::::90:253::23:4:13439:6652:12701:12838:1:28:3025:::::|h[Skyferno Rondel]|h|r,3,false,Daggers,One-Hand,,Ariops-Aggra(Português)
Oxiduz-Kazzak,2026/08/27,00:27:00,1787783192-8,[Vile Alchemist's Band],268249,item:268249::::::::90:261::151:5:6652:13668:13333:12835:11215:1:28:7363,Personal Loot - Non tradeable,nil,ROGUE,The Venomous Abyss-Heroic,Vashnik the Malignant,15,3004,18,,,PL,false,Miscellaneous,Finger,,Oxiduz-Kazzak
Providência-Aggra(Português),2026/09/02,23:34:00,1788384849-12,[Venomwoven Icon],270926,item:270926::::::::90:253::5:2:13705:13334,Mainspec/Need,4,WARLOCK,The Venomous Abyss-Heroic,Vashnik the Malignant,15,3004,16,|cnIQ4:|Hitem:271549:8013:::::::90:253::3:5:12835:13333:13690:6652:13698:1:28:1040:::::|h[Damned Necrolyte's Rattling Robes]|h|r,,3,false,Armor Token,,,Ariops-Aggra(Português)
Providência-Aggra(Português),2026/09/02,23:53:00,1788385984-14,[Errant Scrollsage's Hood],268242,item:268242::::::::90:253::5:5:6652:13696:13662:13334:12842:1:28:7359,Mainspec/Need,3,WARLOCK,The Venomous Abyss-Heroic,The Lost Explorers,15,3004,16,|cnIQ4:|Hitem:271546:7990:::::::90:253::186:5:12833:13696:13692:13698:1545:1:64:156387:::::|h[Skull of the Damned Necrolyte]|h|r,,3,false,Cloth,Head,,Ariops-Aggra(Português)
Wannabplanty-Aggra(Português),2026/09/01,23:59:00,1788299973-2,[Ruthless Slaughtergrips],268234,item:268234::::::::90:253::5:4:6652:13662:13334:12843,Mainspec/Need,1,DRUID,The Venomous Abyss-Heroic,Sszorak,15,3004,17,|cnIQ4:|Hitem:250025:2841:::::::90:253::35:5:13337:13440:6652:13574:12806::::::|h[Arbortenders of the Luminous Bloom]|h|r,,3,false,Leather,Hands,,Ariops-Aggra(Português)
Ghosty-Aggra(Português),2026/08/25,22:54:00,1787691261-1,[Hexing Spiritrender],268203,item:268203::::::::90:253::5:3:6652:13334:12841,Mainspec/Need,0,SHAMAN,The Venomous Abyss-Heroic,Nek'zali the Soulcoiler,15,3004,14,|cnIQ4:|Hitem:50227:8039:::::::90:253::35:4:13440:6652:12701:13654::::::|h[Surgeon's Needle]|h|r,|cnIQ4:|Hitem:249275::::::::90:253::6:3:6652:13335:13654::::::|h[Bulwark of Noble Resolve]|h|r,1,false,Daggers,One-Hand,nao é bis mas ajuda mto,Ariops-Aggra(Português)
Ghosty-Aggra(Português),2026/08/26,22:47:00,1787777253-3,[Cursed Reliquary Cincture],268216,item:268216::::::::90:253::5:5:6652:13696:13662:13334:12841,BiS,3,SHAMAN,The Venomous Abyss-Heroic,Nek'zali the Soulcoiler,15,3004,16,|cnIQ4:|Hitem:268216::::::::90:253::3:5:6652:13696:13662:13333:12838::::::|h[Cursed Reliquary Cincture]|h|r,,1,false,Mail,Waist,bis mas tenho normal,Ariops-Aggra(Português)
Ghosty-Aggra(Português),2026/08/26,22:47:00,1787777278-5,[Amani Summoning Shawl],268248,item:268248::::::::90:253::5:4:6652:13662:13334:12841,BiS,5,SHAMAN,The Venomous Abyss-Heroic,Nek'zali the Soulcoiler,15,3004,16,|cnIQ4:|Hitem:239656::::::::90:253::13:8:12214:13667:12497:12066:8960:12384:8795:13622:9:28:3615:29:32:30:49:38:8:40:2564:46:232875:47:240167:48:245792:49:-2147480301:::::|h[Adherent's Silken Shroud |A:Professions-ChatIcon-Quality-Tier5:17:15::1|a]|h|r,,1,false,Cloth,Back,bis,Ariops-Aggra(Português)
Ghosty-Aggra(Português),2026/08/27,00:26:00,1787783174-7,[Frothing Venom Spaulders],268246,item:268246::::::::90:264::151:5:6652:13662:13333:12835:11215:1:28:7363,Personal Loot - Non tradeable,nil,SHAMAN,The Venomous Abyss-Heroic,Vashnik the Malignant,15,3004,18,,,PL,false,Leather,Shoulder,,Ghosty-Aggra(Português)
Sagaraa-Aggra(Português),2026/08/25,22:53:00,1787691187-0,[Vestment of the Awakening],268235,item:268235::::::::90:253::5:4:6652:13662:13334:12841,Mainspec/Need,1,MONK,The Venomous Abyss-Heroic,Nek'zali the Soulcoiler,15,3004,14,|cnIQ4:|Hitem:271522:7987:::::::90:253::3:6:6652:13333:12838:13690:13698:1561:1:64:268235:::::|h[Battle Gi of the Monkey King]|h|r,,1,false,Leather,Chest,tenho isto em normal. meu bis chest,Ariops-Aggra(Português)
